CPF,Nome,Senha,DataNascimento,Salario
12384246614,NaanADM,naan123,19/01/2001,1500.0
12357812342,Anna,anna123,25/05/2001,1500.0
98765432100,João,joao123,10/11/1988,2000.0
56789012345,Maria,maria456,03/09/2000,1800.0
32145698700,Pedro,pedro789,15/07/1993,2200.0
74589632501,Ana,ana321,22/04/1997,2100.0
15975346820,Lucas,lucas654,08/12/1990,2500.0
45678912300,Carla,carla987,30/06/1998,2300.0
98765432101,Gabriel,gabriel123,14/02/1996,2400.0
12398765402,Sophia,sophia456,05/09/2002,1900.0
1,naan,1,1293812,182731.0
123456,alsd,1500.0,123,19/01/2001
12345678900,cleiton,1200.0,123,19/2/2004
1233,asdas,1500.0,123,19/01/2020
12345678900,Funcionário CPF Inválido,1000.0,senha,30/12/1990
12345678903,Funcionário Duplicado,1000.0,senha,30/12/1990
12345678903,Funcionário Duplicado,1000.0,senha,30/12/1990
12284596414,asdasd,1500.0,123,19/01/2003
12345678900,Funcionário CPF Inválido,1000.0,senha,30/12/1990
12345678903,Funcionário Duplicado,1000.0,senha,30/12/1990
12345678903,Funcionário Duplicado,1000.0,senha,30/12/1990
12345678902,naan,1500.0,123,19/02/2009
