CPF,Nome,Senha,DataNascimento
12384249614,Naan,Silva875621,19/01/2001
23461587230,João,123456,25/05/1995
98765432100,Maria,senha123,10/11/1988
56789012345,Pedro,pedro456,03/09/2000
32145698700,Ana,ana789,15/07/1993
74589632501,Lucas,lucas321,22/04/1997
15975346820,Carla,carla123,08/12/1990
45678912300,Gabriel,gabriel456,30/06/1998
98765432101,Sophia,sophia789,14/02/1996
12398765402,Enzo,enzo123,05/09/2002
65432178903,Julia,julia456,18/03/1994
78945612304,Luiz,luiz789,20/07/1999
74185296305,Lara,lara123,02/11/1992
85296374106,Marcos,marcos456,12/10/1991
36925814707,Beatriz,beatriz789,28/06/1987
14725836908,Matheus,matheus123,09/04/2004
25836914709,Larissa,larissa456,17/08/1996
96385274110,Rafael,rafael789,23/03/1995
